Genero,Edad,CCAA,Periodo,Total
Mujeres,Todas las edades,País Vasco,1983,2
Mujeres,Todas las edades,País Vasco,1982,2
Mujeres,Todas las edades,País Vasco,1981,8
Mujeres,Todas las edades,País Vasco,1980,2
Mujeres,Todas las edades,La Rioja,2022,1
Mujeres,Todas las edades,La Rioja,2021,0
Mujeres,Todas las edades,La Rioja,2020,0
Mujeres,Todas las edades,La Rioja,2019,1
Mujeres,Todas las edades,La Rioja,2018,0
Mujeres,Todas las edades,La Rioja,2017,1
Mujeres,Todas las edades,La Rioja,2016,1
Mujeres,Todas las edades,La Rioja,2015,1
Mujeres,Todas las edades,La Rioja,2014,0
Mujeres,Todas las edades,La Rioja,2013,0
Mujeres,Todas las edades,La Rioja,2012,0
Mujeres,Todas las edades,La Rioja,2011,1
Mujeres,Todas las edades,La Rioja,2010,2
Mujeres,Todas las edades,La Rioja,2009,1
Mujeres,Todas las edades,La Rioja,2008,0
Mujeres,Todas las edades,La Rioja,2007,1
Mujeres,Todas las edades,La Rioja,2006,0
Mujeres,Todas las edades,La Rioja,2005,0
Mujeres,Todas las edades,La Rioja,2004,1
Mujeres,Todas las edades,La Rioja,2003,0
Mujeres,Todas las edades,La Rioja,2002,0
Mujeres,Todas las edades,La Rioja,2001,0
Mujeres,Todas las edades,La Rioja,2000,1
Mujeres,Todas las edades,La Rioja,1999,1
Mujeres,Todas las edades,La Rioja,1998,1
Mujeres,Todas las edades,La Rioja,1997,0
Mujeres,Todas las edades,La Rioja,1996,1
Mujeres,Todas las edades,La Rioja,1995,1
Mujeres,Todas las edades,La Rioja,1994,1
Mujeres,Todas las edades,La Rioja,1993,0
Mujeres,Todas las edades,La Rioja,1992,3
Mujeres,Todas las edades,La Rioja,1991,3
Mujeres,Todas las edades,La Rioja,1990,1
Mujeres,Todas las edades,La Rioja,1989,0
Mujeres,Todas las edades,La Rioja,1988,1
Mujeres,Todas las edades,La Rioja,1987,0
Mujeres,Todas las edades,La Rioja,1986,0
Mujeres,Todas las edades,La Rioja,1985,2
Mujeres,Todas las edades,La Rioja,1984,0
Mujeres,Todas las edades,La Rioja,1983,2
Mujeres,Todas las edades,La Rioja,1982,0
Mujeres,Todas las edades,La Rioja,1981,0
Mujeres,Todas las edades,La Rioja,1980,0
Mujeres,Todas las edades,Ceuta,2022,0
Mujeres,Todas las edades,Ceuta,2021,1
Mujeres,Todas las edades,Ceuta,2020,0
Mujeres,Todas las edades,Ceuta,2019,1
Mujeres,Todas las edades,Ceuta,2018,0
Mujeres,Todas las edades,Ceuta,2017,0
Mujeres,Todas las edades,Ceuta,2016,0
Mujeres,Todas las edades,Ceuta,2015,0
Mujeres,Todas las edades,Ceuta,2014,0
Mujeres,Todas las edades,Ceuta,2013,0
Mujeres,Todas las edades,Ceuta,2012,0
Mujeres,Todas las edades,Ceuta,2011,0
Mujeres,Todas las edades,Ceuta,2010,0
Mujeres,Todas las edades,Ceuta,2009,0
Mujeres,Todas las edades,Ceuta,2008,0
Mujeres,Todas las edades,Ceuta,2007,0
Mujeres,Todas las edades,Ceuta,2006,0
Mujeres,Todas las edades,Ceuta,2005,0
Mujeres,Todas las edades,Ceuta,2004,0
Mujeres,Todas las edades,Ceuta,2003,0
Mujeres,Todas las edades,Ceuta,2002,1
Mujeres,Todas las edades,Ceuta,2001,0
Mujeres,Todas las edades,Ceuta,2000,0
Mujeres,Todas las edades,Ceuta,1999,0
Mujeres,Todas las edades,Ceuta,1998,1
Mujeres,Todas las edades,Ceuta,1997,1
Mujeres,Todas las edades,Ceuta,1996,0
Mujeres,Todas las edades,Ceuta,1995,1
Mujeres,Todas las edades,Ceuta,1994,0
Mujeres,Todas las edades,Ceuta,1993,0
Mujeres,Todas las edades,Ceuta,1992,0
Mujeres,Todas las edades,Ceuta,1991,0
Mujeres,Todas las edades,Ceuta,1990,0
Mujeres,Todas las edades,Ceuta,1989,0
Mujeres,Todas las edades,Ceuta,1988,0
Mujeres,Todas las edades,Ceuta,1987,0
Mujeres,Todas las edades,Ceuta,1986,1
Mujeres,Todas las edades,Ceuta,1985,0
Mujeres,Todas las edades,Ceuta,1984,0
Mujeres,Todas las edades,Ceuta,1983,1
Mujeres,Todas las edades,Ceuta,1982,0
Mujeres,Todas las edades,Ceuta,1981,1
Mujeres,Todas las edades,Ceuta,1980,0
Mujeres,Todas las edades,Melilla,2022,0
Mujeres,Todas las edades,Melilla,2021,0
Mujeres,Todas las edades,Melilla,2020,0
Mujeres,Todas las edades,Melilla,2019,0
Mujeres,Todas las edades,Melilla,2018,0
Mujeres,Todas las edades,Melilla,2017,0
Mujeres,Todas las edades,Melilla,2016,0
Mujeres,Todas las edades,Melilla,2015,0
Mujeres,Todas las edades,Melilla,2014,0
Mujeres,Todas las edades,Melilla,2013,0
Mujeres,Todas las edades,Melilla,2012,0
Mujeres,Todas las edades,Melilla,2011,0
Mujeres,Todas las edades,Melilla,2010,0
Mujeres,Todas las edades,Melilla,2009,0
Mujeres,Todas las edades,Melilla,2008,0
Mujeres,Todas las edades,Melilla,2007,0
Mujeres,Todas las edades,Melilla,2006,1
Mujeres,Todas las edades,Melilla,2005,0
Mujeres,Todas las edades,Melilla,2004,0
Mujeres,Todas las edades,Melilla,2003,0
Mujeres,Todas las edades,Melilla,2002,0
Mujeres,Todas las edades,Melilla,2001,1
Mujeres,Todas las edades,Melilla,2000,0
Mujeres,Todas las edades,Melilla,1999,0
Mujeres,Todas las edades,Melilla,1998,0
Mujeres,Todas las edades,Melilla,1997,0
Mujeres,Todas las edades,Melilla,1996,0
Mujeres,Todas las edades,Melilla,1995,0
Mujeres,Todas las edades,Melilla,1994,0
Mujeres,Todas las edades,Melilla,1993,0
Mujeres,Todas las edades,Melilla,1992,0
Mujeres,Todas las edades,Melilla,1991,0
Mujeres,Todas las edades,Melilla,1990,0
Mujeres,Todas las edades,Melilla,1989,0
Mujeres,Todas las edades,Melilla,1988,0
Mujeres,Todas las edades,Melilla,1987,0
Mujeres,Todas las edades,Melilla,1986,0
Mujeres,Todas las edades,Melilla,1985,0
Mujeres,Todas las edades,Melilla,1984,0
Mujeres,Todas las edades,Melilla,1983,0
Mujeres,Todas las edades,Melilla,1982,1
Mujeres,Todas las edades,Melilla,1981,0
Mujeres,Todas las edades,Melilla,1980,0
