Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Cantabria,1991,1
Total,Todas las edades,Cantabria,1990,5
Total,Todas las edades,Cantabria,1989,4
Total,Todas las edades,Cantabria,1988,2
Total,Todas las edades,Cantabria,1987,2
Total,Todas las edades,Cantabria,1986,3
Total,Todas las edades,Cantabria,1985,7
Total,Todas las edades,Cantabria,1984,6
Total,Todas las edades,Cantabria,1983,4
Total,Todas las edades,Cantabria,1982,3
Total,Todas las edades,Cantabria,1981,6
Total,Todas las edades,Cantabria,1980,3
Total,Todas las edades,Castilla y León,2022,17
Total,Todas las edades,Castilla y León,2021,10
Total,Todas las edades,Castilla y León,2020,11
